date,total_kilocalories,active_kilocalories,bmr_kilocalories,wellness_kilocalories,burned_kilocalories,total_steps,daily_step_goal,wellness_distance_m,wellness_active_kilocalories,average_stress_level,max_stress_level,resting_hr
2025-08-01,3235.0,1204.0,2031.0,3235.0,,11479,8200,4286,1204.0,39,100,54
2025-08-02,2913.0,882.0,2031.0,2913.0,,23012,8860,19618,882.0,36,96,58
2025-08-03,2577.0,546.0,2031.0,2577.0,,8835,10860,6955,546.0,26,93,56
2025-08-04,2592.0,561.0,2031.0,2592.0,,10976,10660,10093,561.0,22,98,56
2025-08-05,2903.0,872.0,2031.0,2903.0,,11900,10700,10047,872.0,28,95,54
2025-08-06,2427.0,396.0,2031.0,2427.0,,9336,10940,7988,396.0,20,87,53
2025-08-07,2908.0,877.0,2031.0,2908.0,,10550,10780,9267,877.0,38,98,53
2025-08-08,2061.0,30.0,2031.0,2061.0,,3179,10740,2500,30.0,35,97,58
2025-08-09,2744.0,713.0,2031.0,2744.0,,14610,9230,12439,713.0,31,91,53
2025-08-10,2786.0,755.0,2031.0,2786.0,,16395,9770,14347,755.0,31,93,55
2025-08-11,2594.0,563.0,2031.0,2594.0,,12290,11100,10901,563.0,20,90,55
2025-08-12,2921.0,890.0,2031.0,2921.0,,13070,11340,11631,890.0,32,99,53
2025-08-13,2411.0,380.0,2031.0,2411.0,,9432,11690,7210,380.0,25,85,59
2025-08-14,2061.0,30.0,2031.0,2061.0,,3836,11470,3002,30.0,23,85,56
2025-08-15,2706.0,675.0,2031.0,2706.0,,10792,9950,9395,675.0,31,90,55
2025-08-16,2057.0,26.0,2031.0,2057.0,,2192,10040,1731,26.0,21,86,54
2025-08-17,2666.0,635.0,2031.0,2666.0,,14870,9260,12545,635.0,24,96,55
2025-08-18,2760.0,729.0,2031.0,2760.0,,19258,9830,16817,729.0,28,96,54
2025-08-19,2465.0,434.0,2031.0,2465.0,,16501,11720,12646,434.0,32,89,56
2025-08-20,3062.0,1031.0,2031.0,3062.0,,20803,12680,17898,1031.0,35,94,57
2025-08-21,2561.0,530.0,2031.0,2561.0,,12211,14310,10696,530.0,35,92,55
2025-08-22,2294.0,263.0,2031.0,2294.0,,10736,14100,8442,263.0,44,92,59
2025-08-23,2580.0,549.0,2031.0,2580.0,,11774,13430,10193,549.0,47,96,59
2025-08-24,2704.0,673.0,2031.0,2704.0,,15285,13100,13267,673.0,42,97,57
2025-08-25,2737.0,706.0,2031.0,2737.0,,15737,13320,13551,706.0,43,98,55
2025-08-26,2441.0,410.0,2031.0,2441.0,,12405,13810,9743,410.0,31,93,55
2025-08-27,2289.0,258.0,2031.0,2289.0,,7612,13670,5975,258.0,41,93,61
2025-08-28,2823.0,792.0,2031.0,2823.0,,17847,12460,15186,792.0,45,97,56
2025-08-29,2232.0,201.0,2031.0,2232.0,,9554,13000,7506,201.0,37,91,59
2025-08-30,2217.0,186.0,2031.0,2217.0,,7347,12660,5750,186.0,37,98,53
2025-08-31,2193.0,162.0,2031.0,2193.0,,4238,11600,3332,162.0,34,96,60
2025-09-01,2624.0,593.0,2031.0,2624.0,,11325,10130,9983,593.0,26,98,55
2025-09-02,2060.0,29.0,2031.0,2060.0,,2666,10250,2095,29.0,23,89,56
2025-09-03,2620.0,589.0,2031.0,2620.0,,11198,9500,10161,589.0,29,94,56
2025-09-04,2065.0,34.0,2031.0,2065.0,,3174,9670,2484,34.0,22,87,53
2025-09-05,2836.0,805.0,2031.0,2836.0,,14099,9020,12803,805.0,37,98,52
2025-09-06,2762.0,731.0,2031.0,2762.0,,16063,9530,13769,731.0,33,99,58
2025-09-07,2078.0,47.0,2031.0,2078.0,,4107,10840,3230,47.0,24,84,55
2025-09-08,2821.0,790.0,2031.0,2821.0,,16279,10170,14210,790.0,29,98,53
2025-09-09,2776.0,745.0,2031.0,2776.0,,9387,10780,5094,745.0,27,91,51
2025-09-10,3555.0,1524.0,2031.0,3555.0,,16706,10640,8179,1524.0,34,90,58
2025-09-11,2081.0,50.0,2031.0,2081.0,,3168,11250,2479,50.0,36,90,56
2025-09-12,2108.0,77.0,2031.0,2108.0,,2579,10450,2018,77.0,22,88,53
2025-09-13,2125.0,94.0,2031.0,2125.0,,3698,8880,2894,94.0,30,92,50
2025-09-14,2212.0,181.0,2031.0,2212.0,,5994,7850,4717,181.0,49,96,58
2025-09-15,2404.0,373.0,2031.0,2404.0,,8338,7480,7438,373.0,25,90,54
2025-09-16,2100.0,69.0,2031.0,2100.0,,2992,7570,2354,69.0,27,96,50
2025-09-17,2095.0,64.0,2031.0,2095.0,,3231,7120,2534,64.0,35,93,54
2025-09-18,2088.0,57.0,2031.0,2088.0,,3570,6350,2794,57.0,31,95,55
2025-09-19,4118.0,2087.0,2031.0,4118.0,,20269,5800,11769,2087.0,48,99,57
2025-09-20,2251.0,220.0,2031.0,2251.0,,8181,7250,6510,220.0,48,96,59
2025-09-21,2056.0,25.0,2031.0,2056.0,,3810,7440,2982,25.0,27,84,58
2025-09-22,2044.0,13.0,2031.0,2044.0,,2259,7080,1774,13.0,25,83,55
2025-09-23,2553.0,522.0,2031.0,2553.0,,11065,6120,9974,522.0,32,92,55
2025-09-24,2105.0,74.0,2031.0,2105.0,,3275,6620,2563,74.0,34,98,52
2025-09-25,2247.0,216.0,2031.0,2247.0,,7021,6290,5514,216.0,46,92,59
2025-09-26,2963.0,932.0,2031.0,2963.0,,19564,6370,16955,932.0,43,97,56
2025-09-27,2304.0,273.0,2031.0,2304.0,,10138,8370,7934,273.0,45,95,60
2025-09-28,2718.0,687.0,2031.0,2718.0,,11080,8730,9453,687.0,43,98,60
2025-09-29,2472.0,441.0,2031.0,2472.0,,10050,9200,8742,441.0,28,89,57
2025-09-30,2402.0,371.0,2031.0,2402.0,,9959,9370,8242,371.0,32,91,61
2025-10-01,2514.0,483.0,2031.0,2514.0,,9570,9490,8651,483.0,32,98,54
2025-10-02,3777.0,1746.0,2031.0,3777.0,,22917,9510,17419,1746.0,42,96,56
2025-10-03,2595.0,564.0,2031.0,2595.0,,12347,11510,10378,564.0,38,87,62
2025-10-04,2740.0,709.0,2031.0,2740.0,,13507,11680,11969,709.0,32,92,56
2025-10-05,2079.0,48.0,2031.0,2079.0,,4044,12050,3171,48.0,30,86,58
2025-10-06,2067.0,36.0,2031.0,2067.0,,3591,11250,2810,36.0,19,89,53
2025-10-07,2757.0,726.0,2031.0,2757.0,,15714,9720,13589,726.0,39,93,59
2025-10-08,2684.0,653.0,2031.0,2684.0,,11256,10320,9941,653.0,29,93,52
2025-10-09,2093.0,62.0,2031.0,2093.0,,4690,10510,3670,62.0,29,90,57
2025-10-10,4238.0,2207.0,2031.0,4238.0,,14823,9930,3581,2207.0,35,98,56
2025-10-11,3522.0,1491.0,2031.0,3522.0,,10202,10420,4308,1491.0,45,99,60
2025-10-12,2093.0,62.0,2031.0,2093.0,,4361,10400,3433,62.0,27,84,56
2025-10-13,2892.0,861.0,2031.0,2892.0,,9561,9200,4974,861.0,31,97,54
2025-10-14,2313.0,282.0,2031.0,2313.0,,4960,9240,3929,282.0,37,99,61
2025-10-15,3106.0,1075.0,2031.0,3106.0,,10962,8820,9140,1075.0,28,96,55
2025-10-16,2428.0,397.0,2031.0,2428.0,,9043,9040,7921,397.0,28,93,56
2025-10-17,2127.0,96.0,2031.0,2127.0,,3123,9050,2471,96.0,34,96,57
2025-10-18,2122.0,91.0,2031.0,2122.0,,5239,8460,4113,91.0,32,90,58
2025-10-19,2058.0,27.0,2031.0,2058.0,,3629,7820,2848,27.0,26,90,53
2025-10-20,1771.0,23.0,1748.0,1771.0,,2423,6990,1939,23.0,21,85,54
2025-10-21,2348.0,317.0,2031.0,2348.0,,4720,6990,3778,317.0,51,99,60
2025-10-22,2095.0,64.0,2031.0,2095.0,,4042,6540,3207,64.0,33,93,57
2025-10-23,2630.0,599.0,2031.0,2630.0,,12740,6040,10910,599.0,31,86,60
2025-10-24,3728.0,1697.0,2031.0,3728.0,,14374,6710,8087,1697.0,32,92,54
2025-10-25,2225.0,194.0,2031.0,2225.0,,8898,8250,7021,194.0,28,90,60
2025-10-26,2693.0,578.0,2115.0,2693.0,,11155,8380,10002,578.0,26,97,59
2025-10-27,2603.0,572.0,2031.0,2603.0,,12002,8940,10493,572.0,35,96,60
2025-10-28,2066.0,35.0,2031.0,2066.0,,3735,9560,2923,35.0,26,81,59
2025-10-29,2599.0,568.0,2031.0,2599.0,,9725,8980,8530,568.0,30,93,55
2025-10-30,2771.0,740.0,2031.0,2771.0,,12639,9060,11149,740.0,37,96,55
2025-10-31,2272.0,241.0,2031.0,2272.0,,5131,9780,4061,241.0,36,98,55
2025-11-01,2125.0,94.0,2031.0,2125.0,,4250,9320,3378,94.0,33,87,60
2025-11-02,3111.0,1080.0,2031.0,3111.0,,10621,8310,4190,1080.0,36,97,59
2025-11-03,2609.0,578.0,2031.0,2609.0,,11268,8550,10186,578.0,31,98,61
2025-11-04,2650.0,619.0,2031.0,2650.0,,13474,9100,11480,619.0,30,91,61
2025-11-05,2679.0,648.0,2031.0,2679.0,,12137,9980,10465,648.0,36,96,61
2025-11-06,4103.0,2072.0,2031.0,4103.0,,45356,10420,33535,2072.0,63,97,62
2025-11-07,3387.0,1356.0,2031.0,3387.0,,30852,12420,23311,1356.0,58,93,63
2025-11-08,3716.0,1685.0,2031.0,3716.0,,40087,14420,29624,1685.0,42,93,64
2025-11-09,3955.0,1924.0,2031.0,3955.0,,43225,16420,30829,1924.0,59,96,65
2025-11-10,2127.0,96.0,2031.0,2127.0,,2568,18420,2010,96.0,35,90,64
2025-11-11,3029.0,998.0,2031.0,3029.0,,15643,16840,14752,998.0,32,98,64
2025-11-12,2401.0,370.0,2031.0,2401.0,,7573,16600,5892,370.0,29,94,63
2025-11-13,3102.0,1071.0,2031.0,3102.0,,11700,14800,9477,1071.0,37,99,61
2025-11-14,2592.0,561.0,2031.0,2592.0,,9592,14180,8673,561.0,27,96,59
